Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-14T03:36:38.448Z,0,0,OPEN,53.33
2025-11-14T03:36:39.418Z,0,0,CLOSED,53.33
2025-11-14T03:36:55.078Z,13,23,CLOSED,53.33
2025-11-14T03:37:11.236Z,13,23,CLOSED,53.33
2025-11-14T03:37:25.261Z,13,23,CLOSED,53.33
2025-11-14T03:37:40.375Z,13,23,CLOSED,53.33
2025-11-14T03:37:55.609Z,13,23,CLOSED,53.33
2025-11-14T03:38:10.360Z,13,23,CLOSED,53.33
2025-11-14T03:38:25.519Z,13,23,CLOSED,53.33
2025-11-14T03:38:40.346Z,13,23,CLOSED,33.33
2025-11-14T03:38:55.448Z,13,23,CLOSED,53.33
2025-11-14T03:39:11.764Z,13,23,CLOSED,53.33
2025-11-14T03:39:26.781Z,13,23,CLOSED,53.33
2025-11-14T03:39:39.897Z,13,23,OPEN,53.33
2025-11-14T03:39:44.598Z,16,5,CLOSED,34.44
2025-11-14T03:40:00.870Z,13,23,CLOSED,53.33
2025-11-14T03:40:11.550Z,13,23,OPEN,53.33
2025-11-14T03:40:27.471Z,13,23,OPEN,53.33
2025-11-14T03:40:43.108Z,13,23,OPEN,53.33
2025-11-14T03:40:57.823Z,13,23,OPEN,53.33
2025-11-14T03:41:12.780Z,13,23,OPEN,53.33
2025-11-14T03:41:27.425Z,13,23,OPEN,53.33
2025-11-14T03:41:42.498Z,13,23,OPEN,53.33
2025-11-14T03:41:57.437Z,13,23,OPEN,53.33
2025-11-14T03:42:13.374Z,13,23,OPEN,53.33
2025-11-14T03:42:27.387Z,13,23,OPEN,53.33
2025-11-14T03:42:43.664Z,13,23,OPEN,53.33
2025-11-14T03:42:57.543Z,13,23,OPEN,53.33
2025-11-14T03:43:12.333Z,13,23,OPEN,53.33
2025-11-14T03:43:27.538Z,13,23,OPEN,53.33
2025-11-14T03:43:42.283Z,13,23,OPEN,53.33
2025-11-14T03:43:57.387Z,13,23,OPEN,53.33
2025-11-14T03:44:12.353Z,13,23,OPEN,53.33
2025-11-14T03:44:27.384Z,13,23,OPEN,53.33
2025-11-14T03:44:43.265Z,13,23,OPEN,53.33
2025-11-14T03:44:57.303Z,13,23,OPEN,53.33
2025-11-14T03:45:12.638Z,13,23,OPEN,35.56
2025-11-14T03:45:27.389Z,13,23,OPEN,53.33
2025-11-14T03:45:42.408Z,13,23,OPEN,53.33
2025-11-14T03:45:57.633Z,13,23,OPEN,53.33
2025-11-14T03:46:12.716Z,13,23,OPEN,53.33
2025-11-14T03:46:27.775Z,13,23,OPEN,53.33
2025-11-14T03:46:42.459Z,13,23,OPEN,53.33
2025-11-14T03:46:57.696Z,13,23,OPEN,36.11
2025-11-14T03:47:12.928Z,13,23,OPEN,53.33
2025-11-14T03:47:27.932Z,13,23,OPEN,53.33
2025-11-14T03:47:42.345Z,13,23,OPEN,53.33
2025-11-14T03:47:57.610Z,13,23,OPEN,53.33
2025-11-14T03:48:12.299Z,13,23,OPEN,53.33
2025-11-14T03:48:28.339Z,13,23,OPEN,53.33
2025-11-14T03:48:42.481Z,13,23,OPEN,53.33
2025-11-14T03:48:57.327Z,13,23,OPEN,53.33
2025-11-14T03:49:13.634Z,13,23,OPEN,53.33
2025-11-14T03:49:27.707Z,13,23,OPEN,53.33
2025-11-14T03:49:42.254Z,13,23,OPEN,53.33
2025-11-14T03:49:57.606Z,13,23,OPEN,53.33
2025-11-14T03:50:13.210Z,13,23,OPEN,53.33
2025-11-14T03:50:27.755Z,13,23,OPEN,53.33
2025-11-14T03:50:42.585Z,13,23,OPEN,53.33
2025-11-14T03:50:57.543Z,13,23,OPEN,47.78
2025-11-14T03:51:12.757Z,13,23,OPEN,53.33
2025-11-14T03:51:27.325Z,13,23,OPEN,36.11
2025-11-14T03:51:42.318Z,13,23,OPEN,53.33
2025-11-14T03:51:57.530Z,13,23,OPEN,35.56
2025-11-14T03:52:12.468Z,13,23,OPEN,53.33
2025-11-14T03:52:27.957Z,13,23,OPEN,53.33
2025-11-14T03:52:49.933Z,13,23,OPEN,53.33
2025-11-14T03:52:57.381Z,13,23,OPEN,53.33
2025-11-14T03:53:12.657Z,13,23,OPEN,53.33
2025-11-14T03:53:27.791Z,13,23,OPEN,53.33
2025-11-14T03:53:42.427Z,13,23,OPEN,53.33
2025-11-14T03:53:57.693Z,13,23,OPEN,53.33
2025-11-14T03:54:13.411Z,13,23,OPEN,53.33
2025-11-14T03:54:27.591Z,13,23,OPEN,53.33
2025-11-14T03:54:42.454Z,13,23,OPEN,53.33
2025-11-14T03:54:57.368Z,13,23,OPEN,53.33
2025-11-14T03:55:12.660Z,13,23,OPEN,53.33
2025-11-14T03:55:27.379Z,13,23,OPEN,53.33
2025-11-14T03:55:42.290Z,13,23,OPEN,53.33
2025-11-14T03:55:57.854Z,13,23,OPEN,53.33
2025-11-14T03:56:12.460Z,13,23,OPEN,53.33
2025-11-14T03:56:27.473Z,13,23,OPEN,53.33
2025-11-14T03:56:42.466Z,13,23,OPEN,53.33
2025-11-14T03:56:57.575Z,13,23,OPEN,53.33
2025-11-14T03:57:12.444Z,13,23,OPEN,53.33
2025-11-14T03:57:27.571Z,13,23,OPEN,53.33
2025-11-14T03:57:42.849Z,13,23,OPEN,53.33
2025-11-14T03:57:58.120Z,13,23,OPEN,53.33
2025-11-14T03:58:12.713Z,13,23,OPEN,36.11
2025-11-14T03:58:27.277Z,13,23,OPEN,53.33
2025-11-14T03:58:43.256Z,13,23,OPEN,53.33
2025-11-14T03:58:57.887Z,13,23,OPEN,53.33
2025-11-14T03:59:12.310Z,13,23,OPEN,53.33
2025-11-14T03:59:27.606Z,13,23,OPEN,53.33
2025-11-14T03:59:42.266Z,13,23,OPEN,53.33
2025-11-14T03:59:57.349Z,13,23,OPEN,53.33
2025-11-14T04:00:12.525Z,13,23,OPEN,53.33
2025-11-14T04:00:27.548Z,13,23,OPEN,53.33
2025-11-14T04:00:42.432Z,13,23,OPEN,53.33
2025-11-14T04:00:57.246Z,13,23,OPEN,53.33
2025-11-14T04:01:12.515Z,13,23,OPEN,53.33
2025-11-14T04:01:27.596Z,13,23,OPEN,53.33
2025-11-14T04:01:42.431Z,13,23,OPEN,53.33
2025-11-14T04:01:57.411Z,13,23,OPEN,53.33
2025-11-14T04:02:12.622Z,13,23,OPEN,53.33
2025-11-14T04:02:28.218Z,13,23,OPEN,53.33
2025-11-14T04:02:42.494Z,13,23,OPEN,53.33
2025-11-14T04:02:58.106Z,13,23,OPEN,53.33
2025-11-14T04:03:12.385Z,13,23,OPEN,53.33
2025-11-14T04:03:27.545Z,13,23,OPEN,53.33
2025-11-14T04:03:42.742Z,13,23,OPEN,53.33
2025-11-14T04:03:57.529Z,13,23,OPEN,53.33
2025-11-14T04:04:12.757Z,13,23,OPEN,53.33
2025-11-14T04:04:28.580Z,13,23,OPEN,36.67
2025-11-14T04:04:43.019Z,13,23,OPEN,53.33
2025-11-14T04:04:57.312Z,13,23,OPEN,36.67
2025-11-14T04:05:12.364Z,13,23,OPEN,53.33
2025-11-14T04:05:27.529Z,13,23,OPEN,53.33
2025-11-14T04:05:42.402Z,13,23,OPEN,53.33
2025-11-14T04:05:57.440Z,13,23,OPEN,53.33
2025-11-14T04:06:09.520Z,13,23,CLOSED,53.33
2025-11-14T04:06:25.712Z,13,23,CLOSED,53.33
2025-11-14T04:06:40.891Z,13,23,CLOSED,53.33
2025-11-14T04:06:55.539Z,13,23,CLOSED,53.33
2025-11-14T04:07:10.630Z,13,23,CLOSED,53.33
2025-11-14T04:07:25.839Z,13,23,CLOSED,53.33
2025-11-14T04:07:40.514Z,13,23,CLOSED,53.33
2025-11-14T04:07:55.526Z,13,23,CLOSED,53.33
2025-11-14T04:08:11.079Z,13,23,CLOSED,53.33
2025-11-14T04:08:25.471Z,13,23,CLOSED,53.33
2025-11-14T04:08:40.637Z,13,23,CLOSED,53.33
2025-11-14T04:08:55.773Z,13,23,CLOSED,53.33
2025-11-14T04:09:10.996Z,13,23,CLOSED,53.33
2025-11-14T04:09:25.646Z,13,23,CLOSED,53.33
2025-11-14T04:09:40.670Z,13,23,CLOSED,53.33
2025-11-14T04:09:55.664Z,13,23,CLOSED,53.33
